Instance-Type , Memory , CPUs , Physical Processor , Network Performance , Linux On Demand cost , Linux Reserved cost
m5n.12xlarge , 192.0 GiB , 48 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , 50 Gigabit , $2084.88 monthly , $1324.22 monthly
m5n.16xlarge , 256.0 GiB , 64 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , 75 Gigabit , $2779.84 monthly , $1765.87 monthly
m5n.24xlarge , 384.0 GiB , 96 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , 100 Gigabit , $4169.76 monthly , $2649.17 monthly
m5n.2xlarge , 32.0 GiB , 8 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , Up to 25 Gigabit , $347.48 monthly , $220.46 monthly
m5n.4xlarge , 64.0 GiB , 16 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , Up to 25 Gigabit , $694.96 monthly , $441.65 monthly
m5n.8xlarge , 128.0 GiB , 32 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , 25 Gigabit , $1389.92 monthly , $883.30 monthly
m5n.large , 8.0 GiB , 2 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , Up to 25 Gigabit , $86.87 monthly , $55.48 monthly
m5n.metal , 384.0 GiB , 96 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , 100 Gigabit , unavailable , unavailable
m5n.xlarge , 16.0 GiB , 4 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , Up to 25 Gigabit , $173.74 monthly , $110.23 monthly
p2.16xlarge , 768.0 GiB , 64 vCPUs , Intel Xeon E5-2686 v4 (Broadwell) , 20 Gigabit , $10512.00 monthly , $7174.44 monthly
p2.8xlarge , 488.0 GiB , 32 vCPUs , Intel Xeon E5-2686 v4 (Broadwell) , 10 Gigabit , $5256.00 monthly , $3587.22 monthly
p2.xlarge , 61.0 GiB , 4 vCPUs , Intel Xeon E5-2686 v4 (Broadwell) , High , $657.00 monthly , $448.22 monthly
p3.16xlarge , 488.0 GiB , 64 vCPUs , Intel Xeon E5-2686 v4 (Broadwell) , 25 Gigabit , $17870.40 monthly , $12196.84 monthly
p3.2xlarge , 61.0 GiB , 8 vCPUs , Intel Xeon E5-2686 v4 (Broadwell) , Up to 10 Gigabit , $2233.80 monthly , $1524.24 monthly
p3.8xlarge , 244.0 GiB , 32 vCPUs , Intel Xeon E5-2686 v4 (Broadwell) , 10 Gigabit , $8935.20 monthly , $6098.42 monthly
p3dn.24xlarge , 768.0 GiB , 96 vCPUs , Intel Xeon Platinum 8175 (Skylake) , 100 Gigabit , $22784.76 monthly , $14026.95 monthly
r3.2xlarge , 61.0 GiB , 8 vCPUs , Intel Xeon E5-2670 v2 (Ivy Bridge) , High , $485.45 monthly , $305.14 monthly
r3.4xlarge , 122.0 GiB , 16 vCPUs , Intel Xeon E5-2670 v2 (Ivy Bridge) , High , $970.90 monthly , $610.28 monthly
r3.8xlarge , 244.0 GiB , 32 vCPUs , Intel Xeon E5-2670 v2 (Ivy Bridge) , 10 Gigabit , $1941.80 monthly , $1220.56 monthly
r3.large , 15.25 GiB , 2 vCPUs , Intel Xeon E5-2670 v2 (Ivy Bridge) , Moderate , $121.18 monthly , $76.65 monthly
r3.xlarge , 30.5 GiB , 4 vCPUs , Intel Xeon E5-2670 v2 (Ivy Bridge) , Moderate , $243.09 monthly , $152.57 monthly
r4.16xlarge , 488.0 GiB , 64 vCPUs , Intel Xeon E5-2686 v4 (Broadwell) , 20 Gigabit , $3106.88 monthly , $1962.24 monthly
r4.2xlarge , 61.0 GiB , 8 vCPUs , Intel Xeon E5-2686 v4 (Broadwell) , Up to 10 Gigabit , $388.36 monthly , $245.28 monthly
r4.4xlarge , 122.0 GiB , 16 vCPUs , Intel Xeon E5-2686 v4 (Broadwell) , Up to 10 Gigabit , $776.72 monthly , $490.56 monthly
r4.8xlarge , 244.0 GiB , 32 vCPUs , Intel Xeon E5-2686 v4 (Broadwell) , 10 Gigabit , $1553.44 monthly , $981.12 monthly
r4.large , 15.25 GiB , 2 vCPUs , Intel Xeon E5-2686 v4 (Broadwell) , Up to 10 Gigabit , $97.09 monthly , $61.32 monthly
r4.xlarge , 30.5 GiB , 4 vCPUs , Intel Xeon E5-2686 v4 (Broadwell) , Up to 10 Gigabit , $194.18 monthly , $122.64 monthly
r5.12xlarge , 384.0 GiB , 48 vCPUs , Intel Xeon Platinum 8175 , 10 Gigabit , $2207.52 monthly , $1390.65 monthly
r5.16xlarge , 512.0 GiB , 64 vCPUs , Intel Xeon Platinum 8175 , 20 Gigabit , $2943.36 monthly , $1854.20 monthly
r5.24xlarge , 768.0 GiB , 96 vCPUs , Intel Xeon Platinum 8175 , 25 Gigabit , $4415.04 monthly , $2781.30 monthly
r5.2xlarge , 64.0 GiB , 8 vCPUs , Intel Xeon Platinum 8175 , 10 Gigabit , $367.92 monthly , $232.14 monthly
r5.4xlarge , 128.0 GiB , 16 vCPUs , Intel Xeon Platinum 8175 , 10 Gigabit , $735.84 monthly , $463.55 monthly
r5.8xlarge , 256.0 GiB , 32 vCPUs , Intel Xeon Platinum 8175 , 10 Gigabit , $1471.68 monthly , $927.10 monthly
r5.large , 16.0 GiB , 2 vCPUs , Intel Xeon Platinum 8175 , 10 Gigabit , $91.98 monthly , $57.67 monthly
r5.metal , 768.0 GiB , 96 vCPUs , Intel Xeon Platinum 8175 , 25 Gigabit , $4415.04 monthly , $2781.30 monthly
r5.xlarge , 32.0 GiB , 4 vCPUs , Intel Xeon Platinum 8175 , 10 Gigabit , $183.96 monthly , $116.07 monthly
r5a.12xlarge , 384.0 GiB , 48 vCPUs , AMD EPYC 7571 , 10 Gigabit , $1979.76 monthly , $1249.03 monthly
r5a.16xlarge , 512.0 GiB , 64 vCPUs , AMD EPYC 7571 , 12 Gigabit , $2639.68 monthly , $1665.86 monthly
r5a.24xlarge , 768.0 GiB , 96 vCPUs , AMD EPYC 7571 , 20 Gigabit , $3959.52 monthly , $2498.79 monthly
r5a.2xlarge , 64.0 GiB , 8 vCPUs , AMD EPYC 7571 , 10 Gigabit , $329.96 monthly , $208.05 monthly
r5a.4xlarge , 128.0 GiB , 16 vCPUs , AMD EPYC 7571 , 10 Gigabit , $659.92 monthly , $416.10 monthly
r5a.8xlarge , 256.0 GiB , 32 vCPUs , AMD EPYC 7571 , Up to 10 Gigabit , $1319.84 monthly , $832.93 monthly
r5a.large , 16.0 GiB , 2 vCPUs , AMD EPYC 7571 , 10 Gigabit , $82.49 monthly , $51.83 monthly
r5a.xlarge , 32.0 GiB , 4 vCPUs , AMD EPYC 7571 , 10 Gigabit , $164.98 monthly , $104.39 monthly
r5ad.12xlarge , 384.0 GiB , 48 vCPUs , AMD EPYC 7571 , 10 Gigabit , $2295.12 monthly , $1453.43 monthly
r5ad.24xlarge , 768.0 GiB , 96 vCPUs , AMD EPYC 7571 , 20 Gigabit , $4590.24 monthly , $2906.13 monthly
r5ad.2xlarge , 64.0 GiB , 8 vCPUs , AMD EPYC 7571 , 10 Gigabit , $382.52 monthly , $242.36 monthly
r5ad.4xlarge , 128.0 GiB , 16 vCPUs , AMD EPYC 7571 , 10 Gigabit , $765.04 monthly , $484.72 monthly
r5ad.large , 16.0 GiB , 2 vCPUs , AMD EPYC 7571 , 10 Gigabit , $95.63 monthly , $60.59 monthly
r5ad.xlarge , 32.0 GiB , 4 vCPUs , AMD EPYC 7571 , 10 Gigabit , $191.26 monthly , $121.18 monthly
r5d.12xlarge , 384.0 GiB , 48 vCPUs , Intel Xeon Platinum 8175 , 10 Gigabit , $2522.88 monthly , $1592.13 monthly
r5d.16xlarge , 512.0 GiB , 64 vCPUs , Intel Xeon Platinum 8175 , 20 Gigabit , $3363.84 monthly , $2122.84 monthly
r5d.24xlarge , 768.0 GiB , 96 vCPUs , Intel Xeon Platinum 8175 , 25 Gigabit , $5045.76 monthly , $3184.26 monthly
r5d.2xlarge , 64.0 GiB , 8 vCPUs , Intel Xeon Platinum 8175 , 10 Gigabit , $420.48 monthly , $265.72 monthly
